BE,KE,Exp,Comp_1,Comp_2,Comp_3,BG,envelope
294.824,1026.5919999999999,0.0,0.0,0.0,0.0,0.0,0.0
294.724,1024.748,0.0,0.0,0.0,0.0,0.0,0.0
294.624,1030.681,0.0,0.0,0.0,0.0,0.0,0.0
294.524,1020.2260000000001,0.0,0.0,0.0,0.0,0.0,0.0
294.424,1029.492,0.0,0.0,0.0,0.0,0.0,0.0
294.324,1025.148,0.0,0.0,0.0,0.0,0.0,0.0
294.224,1020.803,0.0,0.0,0.0,0.0,0.0,0.0
294.124,1017.2919999999999,0.0,0.0,0.0,0.0,0.0,0.0
294.024,1021.2810000000001,0.0,0.0,0.0,0.0,0.0,0.0
293.924,1018.881,0.0,0.0,0.0,0.0,0.0,0.0
293.824,1020.9259999999999,0.0,0.0,0.0,0.0,0.0,0.0
293.724,1022.414,0.0,0.0,0.0,0.0,0.0,0.0
293.624,1030.292,0.0,0.0,0.0,0.0,0.0,0.0
293.524,1030.392,0.0,0.0,0.0,0.0,0.0,0.0
293.424,1025.214,0.0,0.0,0.0,0.0,0.0,0.0
293.324,1021.7029999999999,0.0,0.0,0.0,0.0,0.0,0.0
293.224,1028.192,0.0,0.0,0.0,0.0,0.0,0.0
293.124,1029.126,0.0,0.0,0.0,0.0,0.0,0.0
293.024,1025.0590000000002,0.0,0.0,0.0,0.0,0.0,0.0
292.924,1036.826,0.0,0.0,0.0,0.0,0.0,0.0
292.824,1033.87,0.0,0.0,0.0,0.0,0.0,0.0
292.724,1030.0810000000001,0.0,0.0,0.0,0.0,0.0,0.0
292.624,1018.7919999999999,0.0,0.0,0.0,0.0,0.0,0.0
292.524,1026.948,0.0,0.0,0.0,0.0,0.0,0.0
292.424,1024.27,0.0,0.0,0.0,0.0,0.0,0.0
292.324,1023.8139999999999,0.0,0.0,0.0,0.0,0.0,0.0
292.224,1032.526,0.0,0.0,0.0,0.0010000000000047748,0.0,0.0010000000000047748
292.124,1023.737,0.0,0.0,0.0,0.0020000000000095497,0.0,0.0020000000000095497
292.024,1030.781,0.0,0.0,0.0,0.001999999999981128,0.0,0.001999999999981128
291.924,1034.77,0.0,0.0,0.0,0.003999999999990678,0.0,0.003999999999990678
291.824,1028.759,0.0,0.0,0.0,0.007000000000005002,0.0,0.007000000000005002
291.724,1019.414,0.0,0.0,0.0,0.012000000000000455,0.0,0.012000000000000455
291.624,1025.07,0.0,0.0,0.0,0.02199999999999136,0.0,0.02199999999999136
291.524,1026.837,0.0,0.0,0.0,0.038000000000010914,0.0,0.038000000000010914
291.424,1020.548,0.0,0.0,0.0,0.06299999999998818,0.0,0.06299999999998818
291.324,1031.759,0.0,0.0,0.0,0.10200000000000387,0.0,0.10300000000000864
291.224,1027.692,0.0,0.0,0.0,0.16500000000002046,0.0,0.16500000000002046
291.124,1033.626,0.0,0.0,0.0010000000000047748,0.26200000000000045,0.0,0.26200000000000045
291.024,1028.726,0.0,0.0,0.0010000000000047748,0.40900000000002024,0.0,0.410000000000025
